,job_link,job_description,cosine_similarity,candidate_id
262,https://www.workpac.com/job/fitter-slash-boilermaker-4,boilermak job descript monday saturday immedi startsomerton locationth opportun client locat melbourn s northern suburb oper 50 year specialis steel pipe manufactur current seek boilermak weld pipe use mig flux core weld submerg arc weld repair work x ray test standard 6 30am start 42 59 base rate penalti superannuationnorthern suburb melbourn larg workshop manufactur environmentth rolemig fluxcor weld penetr steel pipe repair defect weld pipe jigsubmerg arc weld pipe weld grindingrepair pipeweld steel pipelin system transport water wastewaterperform submerg arc weld pipe 6mm 12mm thick minimum250mm 1750mm outsid diametermet fabricationth ideal personproven experi fluxcor weldingsubmerg arc weld experiencemust full work right work australiatwo work refer previou weld roleswil undertak weld test pre employ medic abl read interpret structur planssuccess candid pass weld test drug alcohol full pre employ medicalabout workpacworkpac australia s lead privat own recruit provid mine construct engin oil ga healthcar sector proud partner countri s lead compani deliv reward career opportun look employe import us myreward platform offer benefit retail reward financi health cover insur superannu servic more appli nowat workpac recognis strengthen divers commit provid work environ everyon includ treat fairli respect equal opportun employ encourag applic women indigen peopl if sound like right job you pleas click appli now belinda wriedtrecruit coordinatorworkpac recruitment0387891900,[[0.10028555]],c001
36,https://www.workpac.com/job/boilermaker-slash-welder-5,boilermak welder new job descript boilermak welder 42 hr monday saturday 6 10 month work clientnwec engin construct compani respons upgrad section refineri build structur mechan pipe requir tank pipe about roleseek experienc boilermak commenc sun metal zinc refineri background structur steel duti responsibilitiesmig tig flux core cut shape assembl weld steel construct repair metal product skill responsibilitiesconfin spacework heightsconstruct white cardtrad certif will complet pre employ medic drug alcohol workpacworkpac australia s lead privat own recruit provid mine construct engin light industri healthcar sector proud partner countri s leav compani deliv reward perman contract temporari traineeship recruit opportun appli nowkirsti room workapc com07 4941 6411job refer number q indj2020146395at workpac recognis strengthen divers commit provid work environ everyon includ treat fairli respect equal opportun employ encourag applic women indigen peopl,[[0.06819838]],c001
8,https://www.workpac.com/job/boilermaker-98,boilermak new job descript 55 00 per hour roster work 2 year contract roleworkpac seek experienc boilermak commenc jilalan new project commenc new year ideal candid experi exposur weld stainless steel as nz 1554 6 201 abl interpret workshop draw candid form part crew wagon workshop duti responsibilitiesweld stainless steel as nz 1554 6 2012 cut shape assembl weld steel construct repair metal product mainten repair work skill responsibilities pass weld test confin spacework heightsconstruct white cardtrad certif workpacworkpac australia s lead privat own recruit provid mine construct engin light industri healthcar sector proud partner countri s leav compani deliv reward perman contract temporari traineeship recruit opportun appli nowreanna corrigan 07 4969 4709 job refer number q indj2020146150at workpac recognis strengthen divers commit provid work environ everyon includ treat fairli respect equal opportun employ encourag applic women indigen peopl,[[0.05558852]],c001
330,https://www.workpac.com/job/boilermaker-welder,boilermak welder job descript job highlightskarratha dampier residenti applic fifo offer 4 5 5 4 5 5 roster casual ongo posit clientrio tinto oper world s largest integr portfolio iron ore asset asset includ world class integr network 15 iron ore mine four port facil 1 700 kilometr rail network relat infrastructur rio tinto expand oper pilbara epic proport introduc next gener technolog deliv greater effici lower product cost improv health safeti environment perform about roleus boilermak experi join plant shut mainten team perform plan mainten activ rio tinto s dampier port oper port facil consist ship termin termin facil train unload iron ore stockpil product blend ship load report mainten supervisor requir to maintain infrastructur repair overhaul fix plant equip complet prevent correct mainten equip fix plant area conduct routin inspect fix plant asset determin repair action requiredutilis sap ensur mainten task record assign correctli completedskil experiencerelev australian recognis trade certificationmanu c class australian issu driver licenc minimum fabric repair experi within fix plant facilitiesweld oxi cuttingbas understand sap mainten system similar highli regardedabout workpacworkpac australia s lead privat own recruit provid mine construct engin light industri healthcar sector proud partner countri s lead compani deliv reward perman contract temporari traineeship recruit opportun appli nowclick onto appli button inform contact carolin folan recruit coordinatorphon contact 08 9159 6687workpac rio tinto project servicesrefer no tmprij202052500at workpac recognis strengthen divers commit provid work environ everyon includ treat fairli respect equal opportun employ encourag applic women indigen peopl,[[0.05453666]],c001
230,https://www.workpac.com/job/boilermaker-slash-welder-3,boilermak welder job descript boilermak welderimmedi starton go workcompetit pay rateabout clientnwec engin construct compani respons upgrad section refineri build structur mechan pipe requir tank pipe about roleseek experienc boilermak commenc sun metal zinc refineri background structur steel duti responsibilitiesmig tig flux corecut shape assembl weld steel construct repair metal product skill responsibilitiesconfin space certificatework height certificateconstruct white blue cardtrad certif will complet pre employ medic drug alcohol screenabout workpacworkpac australia s lead privat own recruit provid mine construct engin light industri healthcar sector proud partner countri s leav compani deliv reward perman contract temporari traineeship recruit opportun appli nowtrent passeri07 3715 2020job refer number q indj2020145976at workpac recognis strengthen divers commit provid work environ everyon includ treat fairli respect equal opportun employ encourag applic women indigen peopl,[[0.0539536]],c001
232,https://www.workpac.com/job/boilermaker-slash-welder-2,boilermak welder job descript 42 hr monday saturday 6 10 month work clientnwec engin construct compani respons upgrad section refineri build structur mechan pipe requir tank pipe about roleseek experienc boilermak commenc sun metal zinc refineri background structur steel duti responsibilitiesmig tig flux core cut shape assembl weld steel construct repair metal product skill responsibilitiesconfin spacework heightsconstruct white cardtrad certif will complet pre employ medic drug alcohol workpacworkpac australia s lead privat own recruit provid mine construct engin light industri healthcar sector proud partner countri s leav compani deliv reward perman contract temporari traineeship recruit opportun appli nowfelicia john07 4969 4705job refer number q indj2020145977at workpac recognis strengthen divers commit provid work environ everyon includ treat fairli respect equal opportun employ encourag applic women indigen peopl,[[0.05236023]],c001
92,https://www.workpac.com/job/reo-welder-2,reo welder job descript welder immedi startcompetit pay rateon go workour client leader precast concret produc base ipswich region current seek experienc reo welder pre cast weld experi immedi start ongo work success candid abl pass pre employ medic drug alcohol screen roley experienc reo welder abil commenc immedi ongo role opportun work minimum 8 hour day day shift monday friday ideal candid white blue card abl pass pem well drug alcohol screen prior commenc duti responsibilitiesmanu labour reo weld mig weld meet strict safeti standard work individu part teamskil qualificationsminimum 1 year experi similar role reo weld patch etc hold current australian driver s licens white blue card avail immedi starthigh risk work licenc forklift crane ticket highli desir cultur benefitsful time hour ongo work wage paid weekli appli now trent recruit coordinatorphon 07 3715 2020refer bsindj2020105020workpac australia s largest privat own recruit provid mine construct engin oil ga healthcar sector proud partner countri s lead compani deliv reward career opportun look employe import us employe benefit program power flare hr offer benefit across health insur financi servic retail discount more,[[0.05037487]],c001
66,https://www.workpac.com/job/boilermaker-96,boilermak job descript roleour client seek trade qualifi boilermak experienc mig weld immedi start yatala qldduti responsibilitiesread interpret drawingsmig weldingeffect time managementb reliabl proactiv hard workingskil qualificationstrad certif qualificationsmig weld experiencehold current australian driver licenseavail immedi startappli nowclick onto appli button kerri mcleanrecruit coordinatorjob refer bsindj2020105039at workpac recognis strengthen divers commit provid work environ everyon includ treat fairli respect equal opportun employ encourag applic women indigen peopl,[[0.04317554]],c001
124,https://www.workpac.com/job/1st-class-welder-1,1st class welder job descript job highlightsimmedi start 3 month worknav base locationabout roleprimari role 1st class welder must experi fluxcor weld light fabric skill experiencefluxcor weldinglight fabricationmust abl pass weld test high attent detail requir workpacworkpac australia s lead privat own recruit provid mine construct engin light industri healthcar sector proud partner countri s lead compani deliv reward perman contract temporari traineeship recruit opportun appli nowclick onto appli button inform contact kristin de souza 08 6462 1118western regionrefer number 764j202070078at workpac recognis strengthen divers commit provid work environ everyon includ treat fairli respect equal opportun employ encourag applic women indigen peopl,[[0.04283052]],c001
72,https://www.workpac.com/job/boilermaker-95,boilermak job descript roleour client lead mine construct compani seek boilermak project work brisban trade qualifi boilermak relev experi across instal compon rebuild success role must avail mon thur 12 hour shift 10 shift friday ongo work potenti extens success candid requir undergo client interview pre employ medic drug alcohol screen duti respons air arc gougingmig weld instal fabric new compon equipmentrepair mainten forklift oper read engin plan skill experi must hold relev trade qualif minimum 1 year experi similar role must avail long shift forklift ticket dogman ticket desir driver licens cultur benefit consist work avail weekli wage support staff work workpac workpac australia s lead privat own recruit provid mine construct engin light industri healthcar sector proud partner countri s lead compani deliv reward perman contract temporari traineeship recruit opportun to consid role pleas appli via link updat cv andrew 07 3621 2900 job order refer bsindj2020105033at workpac recognis strengthen divers commit provid work environ everyon includ treat fairli respect equal opportun employ encourag applic women indigen peopl,[[0.04097081]],c001
