,job_link,job_description,job_title
0,https://www.workpac.com/job/weighbridge-operator-7," Job description Yard Picker Ongoing roleCasual Role with opportunity to go permGreat ratesAbout the CompanyWorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, oil and gas and healthcare sectors. We are proud to partner with some of the country's leading companies to deliver rewarding career opportunities. Register or apply with us for ongoing access to a wide range of temporary and permanent jobs for all skill levels. About the RoleWe are currently looking for Yard Picker for a Recycling Facility in Teralba NSW. Must have:White CardRight to Work in AustraliaHave a current Drivers LicenceLive in Newcastle or surroundsClean shaven (site requirement)A successful candidate will have: Ability to work well in a team environmentAbility to multi-taskWillingness to take direction from supervisor and managementWillingness to undertake mandatory training courses and adhere to company policies and procedures. Willingness to undertake Saturday work on a roster systemHow to ApplyClick on the Apply button or for more information please contact:Newcastle OfficeLisa Noble0429592214 ","weighbridge operator
new"
1,https://www.workpac.com/job/electrical-fitter-7," Job description Job Highlight6/6 Roster (3 days, 3 nights, 6 off)Residential role open to residents of Karratha or DampierOngoing for the right candidate About WorkPacWorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, oil and gas and healthcare sectors. We are proud to partner with some of the country's leading companies to deliver rewarding career opportunities. Register or apply with us for ongoing access to a wide range of temporary and permanent jobs for all skill levels. The RoleYou will be called upon for a variety of Electrical and mechanical maintenance tasks related to ore car maintenance.Wagon braking system preventative and breakdown maintenance is the primary work with considerable time spent in the mechanical field completing, Wheel repairs, bearing, draft-gear, bogie and brake system repairs.You will be required to learn and then shunt wagons around the workshop.Follow safety policies and procedures and wear the required personal protective equipment required for the job in a safe mannerTickets and Licences: - Relevant Trade Certificate- Current C Class Drivers Licence- Committed to following the company's values- Flexible and able to work well in a team- Ability to follow instruction through to task completion- Committed with 100% safety focus- Experience in Rail Industry, wagon maintenance specifically would be advantageousDesirable but not essential:- Forklift Ticket- Dogman- First Aid- Rio Tinto InductedWhy work for WorkPac?Looking after our employees is important to us. Our Employee Benefits program offers benefits across health, private insurance, financial services, travel and more.We have a team of dedicated recruiters, most of which have in field knowledge of the industry, who make continuous contact to ensure you are happy with not only WorkPac's service but our clients. We are committed to ensuring you are happy and safe, you are our most valuable asset!WorkPac have over 45 offices throughout Australia, this means you have the flexibility to work anywhere in Australia with us. As WorkPac has such a large footprint, we know our local areas and are always helping our local community.Apply Online Today! At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people.Reference no. TMPRIJ202057719 ","electrical fitter
new"
2,https://www.workpac.com/job/auto-electrician-13," Job description Local Position On Going Role Monday to Friday role ABOUT THE ROLEWorkPac are seeking Qualified Auto Electricianâs to commence ASAP based locally to Mackay. The role will consist in managing servicing and maintenance of all onsite OEM Pit Master Lighting Tower equipment. The position may transition to a permanent position directly with the client. DUTIES & RESPONSIBILITIESScheduled Maintenance and Servicing to OEM Pit Master Lighting Plants Assist with Sales and Distribution Ensure all work carried out is completed in a Safe and efficient Manner  SKILLS & RESPONSIBILITIESTrade QualificationCommunication skillsPrior experience in a similar roleABOUT WORKPACWorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, light industrial and healthcare sectors. We are proud to partner with some of the country's leaving companies to deliver rewarding permanent, contract, temporary and traineeship recruitment opportunities. APPLY NOWReanna Corrigan 07 4969 4709 Job Reference Number: Q.INDJ2020146088At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer, and we encourage applications from women and Indigenous people.  ","auto electrician
new"
3,https://www.workpac.com/job/electrical-fitter-6," Job description About WorkPacWorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, oil and gas and healthcare sectors. We are proud to partner with some of the country's leading companies to deliver rewarding career opportunities. Register or apply with us for ongoing access to a wide range of temporary and permanent jobs for all skill levels. About the Role:Our client is currently seeking experienced Electrical Fitters ideally with Rail experience for ongoing roles at their 7 Mile Facility in Dampier.Reporting to the Yard Supervisor you will be responsible for the safe day to day maintenance of the ore car fleet including electrical, pneumatic and mechanical inspections, testing and repairs. In field breakdown maintenance of Consists, perform complex troubleshooting, fault rectification duties, modifications and preventative maintenance procedures to meet the operational requirements of the specific location.General housekeeping dutiesGeneral forklifting dutiesGeneral truck dutiesEquipment isolationsTest and tagging - 6/6 Roster- 12 Hour Shifts- Day Shifts & Night Shifts (3 days, 3 nights, 6 off)- Residential role open to residents of Karratha or Dampier Mandatory:2 years + experience working in a Mining environmentElectrical Fitter Trade CertificateWA Electrical LicenceCurrent Australian 'C' manual class driver licenceAustralian Rights to workPreferred:HR Drivers Licence High Risk Licence - WP, DG Confined Space Working at Heights Why work for WorkPac?Looking after our employees is important to us. Our Employee Benefits program offers benefits across health, private insurance, financial services, travel and more.We have a team of dedicated recruiters, most of which have in field knowledge of the industry, who make continuous contact to ensure you are happy with not only WorkPac's service but our clients. We are committed to ensuring you are happy and safe, you are our most valuable asset!WorkPac have over 45 offices throughout Australia, this means you have the flexibility to work anywhere in Australia with us. As WorkPac has such a large footprint, we know our local areas and are always helping our local community.Apply Online Today! At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people.Reference: TMPRIJ202057712 ","electrical fitter
new"
4,https://www.workpac.com/job/operator-171," Job description MINE OPERATOR - ENTRY LEVEL* Immediate Start* Local Residents only * 5/5/4 Roster supporting work/life balance About the RoleWe are currently seeking Entry Level MINE OPERATORS for work with a well known Mining Company in Weipa. These opportunities exist for local residents only who will contribute to the successful operations of this mine site.Duties and Responsibilities* Training in mobile plant equipment on a mine site* Maintain high standard of housekeeping on equipment* Communicate with other operators and assist in traffic managementSkills/Experience* Current C class drivers licence* A medical including drug and alcohol testing is required as part of the recruitment process* Must be reliable and have a strong commitment to safetyOn-boarding ProcessCandidate please note that the on-boarding process for these roles will be structured and will be required to undertake skills testing, interview, pre-employment medicals and drug and alcohol testing. If you are not willing to undertake or complete these, you will not be considered for these roles. Please note that only the successful candidates progressing to the next stage will be contacted.About WorkPacWorkPac is Australia's largest, privately owned recruitment provider to the mining, construction, engineering, oil and gas and healthcare sectors. We are proud to partner with some of the country's leading companies to deliver rewarding career opportunities. Looking after our employees is important to us. Our Employee Benefits program powered by Flare HR offers benefits across health, insurance, financial services, retail discounts and more.Click on the Apply button or for more information please contact:Cairns WorkPac office 07 4052 2222At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. ","operator - entry level
new"
5,https://www.workpac.com/job/trade-person-63," Job description We are seeking Australian trade qualified boilermaker's; experience with fabrication (ideally heavy industry). Ideally have Working at Heights, Elevated Platform, Confined Space tickets and White card (mandatory). Overhead gantry crane exp is desirable. Prefer experience to be Perth Workshop based. Night shift only, 54 hours a week in state of the art Henderson facility. ","trade person
new"
6,https://www.workpac.com/job/boilermaker-98," Job description $55.00 per hour Rostered Work 2 year Contract ABOUT THE ROLEWorkPac are seeking experienced Boilermakers to commence at Jilalan for a new project commencing in the new year. Ideal candidates will have experience and exposure to welding stainless steel to As/Nzs 1554.6 201 and be able to interpret workshop drawings. Candidates will form part of a crew in the Wagon Workshop. DUTIES & RESPONSIBILITIESwelding stainless steel to As/Nzs 1554.6 2012 Cutting, Shaping, Assembling and welding steel to construct or repair metal products Maintenance and repair work SKILLS & RESPONSIBILITIESAbility to pass a weld test Confined SpaceWorking at HeightsConstruction White CardTrade Certificate ABOUT WORKPACWorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, light industrial and healthcare sectors. We are proud to partner with some of the country's leaving companies to deliver rewarding permanent, contract, temporary and traineeship recruitment opportunities. APPLY NOWReanna Corrigan 07 4969 4709 Job Reference Number : Q.INDJ2020146150At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people.  ","boilermaker
new"
7,https://www.workpac.com/job/storeperson-51," Job description Job HighlightsResidential to KalgoorliePermanent position on offer after 3 monthsFamily friendly Monday to Friday rosterAbout our ClientSpecialising in highly technical industries such as machining and fabrication, our client is looking for an experience storesperson to join their team in Kalgoorlie with the opportunity of a permanent position after 3 months. About the RoleTeam members would be required to work in a warehouse that holds mining products and work Monday - Friday, 8.00am - 4.30pm. Successful candidates will have 12+ months experience as a Storeperson operating a forklift. Basic computer skills are required for this role and candidates will be required to provide a clean police clearance dated within the last 12 months.Duties & ResponsibilitiesCommitted to a Safe Working EnvironmentOperating a Forklift to move mining equipmentResults orientatedTeam PlayerAbility to be flexible and deal with daily challengesSkills & ExperienceMinimum 1 year experience in a similar environmentHigh Risk Forklift licenceC Class Drivers LicencePolice ClearanceRight to Work in AustraliaMust be able to pass full medical & DASAbout WorkPacWorkPac is Australias leading, privately owned recruitment provider to the mining, construction, engineering, light industrial and healthcare sectors. We are proud to partner with some of the countrys leading companies to deliver rewarding permanent, contract, temporary and traineeship recruitment opportunities.How to ApplyClick onto the apply button. For more information contact:Natasha Mainard 08 9591 0361WorkPac Western RecruitmentReference Number: 752J202049063At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. ","storeperson
new"
8,https://www.workpac.com/job/heavy-duty-fitter-23," Job description Job Highlights8:6:7:7 roster, 12.5 hour shiftsFIFO from PerthChoose full time or casual ongoing employmentAttractive employee benefits schemeAbout our ClientRio Tinto operates the worldâs largest integrated portfolio of iron ore assets. These assets include a world-class, integrated network of 15 iron ore mines, four port facilities, a 1,700 kilometre rail network and related infrastructure. Rio Tinto are expanding operations in the Pilbara to epic proportions while introducing next generation technologies to deliver greater efficiency, lower production costs and improved health, safety and environmental performance.About the RoleWorkPac has employment opportunities at the Rio Tinto Paraburdoo mine site located in the Pilbara region of Western Australia.Reporting to the siteâs Mobile Equipment Maintenance Supervisor, you will repair and conduct preventative maintenance, fault diagnostics and breakdown repairs on mobile fleet out in the field and workshop. You will also inspect and determine equipment condition and assess its suitability to return to service.Â The successful candidate will have demonstrated experience working with electric drive dump trucks such as the Komatsu 830E and will also have exposure to other varying production mining equipment such as loaders, diggers, graders and dozers.Â RequirementsÂ Relevant Australian recognised trade certificationÂ AUR31116 Certificate III in Heavy Commercial Vehicle Mechanical TechnologyAUR31216 Certificate III in Mobile Plant TechnologyMEM30205 Certificate III in Engineering - Mechanical Trade (Diesel Fitter)High Risk Forklift AND DoggingÂ ticketÂ 2 + years post trade experience in a similar roleManual C Class Australian issued Drivers Licence (minimum)Experience driving around open pitsExperience working on autonomous haulage sites (advantageous)About WorkPacWorkPac is Australiaâs leading, privately owned recruitment provider to the mining, construction, engineering, light industrial and healthcare sectors.Â  We are proud to partner with some of the countryâs leading companies to deliver rewarding permanent, contract, temporary and traineeship recruitment opportunities.Apply NowClick onto the apply button.Â  For more information contact:Mia Lowe - Recruitment CoordinatorPhone contact: 08 6462 1121WorkPac Western RecruitmentÂ Reference no.Â TMPRIJ202057695At WorkPac, we recognise we are strengthened by diversity.Â  We are committed to providing a work environment in which everyone is included, treated fairly and with respect.Â  We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. ","heavy duty fitter
new"
9,https://www.workpac.com/job/driller-28," Job description About the RoleWorkPac are currently seeking an experienced exploration driller for an ongoing fifo role at a coal mine site at Clermont.Skills and Experience- Coal Board Medical- Drivers Licence- Standard 11 - D & A - Police Check/ASIO Clearance- Pre Employment Medical- Fit Test - Previous Driller Experience- Driller Skills Listings/QualificationsAbout WorkPacWorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, oil and gas and health care sectors. We are proud to partner with some of the country's leading companies to deliver rewarding career opportunities. WorkPac have over 35 offices throughout Australia, this means you have the flexibility to work anywhere in Australia with us. Apply with us for ongoing access to a wide range of temporary and permanent jobs for all skill levels.Apply NowClick on the apply button or for more information please contact:Joan - Recruitment CoordinatorPhone: (07) 4052 2235At WorkPac, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people. ","driller
new"
